timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759607079629,279,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,900,237,8,8,https://fakestoreapi.com/auth/login,279,0,0
1759607079661,272,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,897,235,8,8,https://fakestoreapi.com/auth/login,272,0,0
1759607079721,276,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,892,235,8,8,https://fakestoreapi.com/auth/login,276,0,0
1759607079721,283,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,903,241,8,8,https://fakestoreapi.com/auth/login,283,0,0
1759607079728,277,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,896,236,8,8,https://fakestoreapi.com/auth/login,277,0,0
1759607079828,278,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,896,237,8,8,https://fakestoreapi.com/auth/login,278,0,0
1759607079908,291,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,895,235,8,8,https://fakestoreapi.com/auth/login,291,0,0
1759607079933,275,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,899,241,8,8,https://fakestoreapi.com/auth/login,275,0,0
1759607079998,277,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,896,235,8,8,https://fakestoreapi.com/auth/login,277,0,0
1759607080004,272,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,894,236,8,8,https://fakestoreapi.com/auth/login,272,0,0
1759607080005,280,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,904,237,8,8,https://fakestoreapi.com/auth/login,280,0,0
1759607080107,279,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,895,235,8,8,https://fakestoreapi.com/auth/login,279,0,0
1759607080199,279,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,905,241,8,8,https://fakestoreapi.com/auth/login,279,0,0
1759607080208,278,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,892,235,8,8,https://fakestoreapi.com/auth/login,278,0,0
1759607080275,280,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,896,236,8,8,https://fakestoreapi.com/auth/login,280,0,0
1759607080286,277,Petición HTTP,201,Created,Grupo de Hilos 1-7,text,true,,893,235,8,8,https://fakestoreapi.com/auth/login,277,0,0
1759607080276,291,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,897,237,8,8,https://fakestoreapi.com/auth/login,291,0,0
1759607080386,274,Petición HTTP,201,Created,Grupo de Hilos 1-8,text,true,,897,241,8,8,https://fakestoreapi.com/auth/login,274,0,0
1759607080478,280,Petición HTTP,201,Created,Grupo de Hilos 1-2,text,true,,890,235,8,8,https://fakestoreapi.com/auth/login,280,0,0
1759607080486,275,Petición HTTP,201,Created,Grupo de Hilos 1-3,text,true,,898,236,8,8,https://fakestoreapi.com/auth/login,275,0,0
1759607080555,280,Petición HTTP,201,Created,Grupo de Hilos 1-5,text,true,,902,237,8,8,https://fakestoreapi.com/auth/login,280,0,0
1759607080567,275,Petición HTTP,201,Created,Grupo de Hilos 1-1,text,true,,895,241,8,8,https://fakestoreapi.com/auth/login,275,0,0
